"","Parameter","Type","Unit","Protocols","Description","Sources","Protocols count"
"13505","tire.error.status","boolean","","[319]","Tire status error","{""319"":[""Packet item number 121""]}",1
"13506","tire.extreme.overpressure.status","boolean","","[319]","Extreme tire overpressure","{""319"":[""Packet item number 121""]}",1
"13507","tire.extreme.underpressure.status","boolean","","[319]","Extreme tire underpressure","{""319"":[""Packet item number 121""]}",1
"13508","tire.leak.status","boolean","","[319]","Tire leak detected","{""319"":[""Packet item number 121""]}",1
"13509","tire.leakage.psi","number","psi","[319]","Tire leakage rate","{""319"":[""Packet item number 121""]}",1
"13510","tire.low.status","boolean","","[319]","Low TPMS battery on tire","{""319"":[""Packet item number 121""]}",1
"13511","tire.overpressure.status","boolean","","[319]","Tire overpressure","{""319"":[""Packet item number 121""]}",1
"13512","tire.pressure.error.status","boolean","","[319]","Pressure sensor error on tire","{""319"":[""Packet item number 121""]}",1
"13513","tire.pressure.psi","number","psi","[5,125,319]","Tire pressure","{""5"":[""Command ID 0x01 with IO ID 1153"",""Command ID 0x44 with IO ID 1153""],""125"":[""ALT Report Header 60"",""STT Report Header 60""],""319"":[""Packet item number 121""]}",3
"13514","tire.sensor.battery.low.status","boolean","","[16]","Tire sensor battery low charge status","{""16"":[""Tag 0x5C""]}",1
"13515","tire.sensor.connection.status","boolean","","[16]","Tire sensor connection status","{""16"":[""Tag 0x5C""]}",1
"13516","tire.sensor.reason","string","","[16]","The reason of data sending from the tire sensor","{""16"":[""Tag 0x5C""]}",1
"13517","tire.temperature.error.status","boolean","","[319]","Temperature sensor error on tire","{""319"":[""Packet item number 121""]}",1
"13518","tire.underpressure.status","boolean","","[319,553]","Tire underpressure","{""319"":[""Packet item number 121""],""553"":[""Packet head RPT""]}",2
"13519","tire.we.error.status","boolean","","[319]","Wheel end sensor error on tire","{""319"":[""Packet item number 121""]}",1
"13520","top.case.status","boolean","","[14]","Top case opened status: true - opened, false - closed","{""14"":[""AVL ID 844""]}",1
"13521","total.acceleration","number","","[24]","Total acceleration for x, y and z axis","{""24"":[""Data field %JF""]}",1
"13522","total.burnt.enery","number","calories","[235]","Accumulated burnt energy in total","{}",1
"13523","total.device.uptime","number","seconds","[287]","Total device working time","{}",1
"13524","total.driving.time","number","seconds","[14,294,404]","Total riding time","{""14"":[""AVL ID 359""]}",3
"13525","total.operate.time","number","seconds","[14]","Total operation time","{""14"":[""AVL ID 358""]}",1
"13526","total.steps.count","number","","[235]","Accumulated steps count in total","{}",1
"13527","total.walk.distance","number","meters","[235]","Accumulated walking distance in total","{}",1
"13528","total.walk.time","number","seconds","[235]","Accumulated walking time in total","{}",1
"13529","towing.events.count","number","","[249]","The number of towing events","{""249"":[""EID 0x07D""]}",1
"13530","tpms.cti.status.flags","array","","[249]","TPMS CTI Status Flags Array","{""249"":[""EID 0x114""]}",1
"13531","tpms.tire.air.leakage.rate","array","","[249]","TPMS Tire Air Leakage Rate Array, Pa/sec","{""249"":[""EID 0x113""]}",1
"13532","tpms.tire.location","array","","[249]","TPMS Tire Location Array","{""249"":[""EID 0x110""]}",1
"13533","tpms.tire.pressure","array","","[249,850]","TPMS Tire Pressure Array, kPa","{""249"":[""EID 0x111""],""850"":[""Additional info ID 0x66""]}",2
"13534","tpms.tire.pressure.reference","array","","[249]","TPMS Tire Pressure Reference Array, kPa","{""249"":[""EID 0x116""]}",1
"13535","tpms.tire.pressure.signal.detect","array","","[249]","TPMS Tire Pressure Signal Detect Array","{""249"":[""EID 0x115""]}",1
"13536","tpms.tire.temperature","array","","[249,850]","TPMS Tire Temperature Array, °C","{""249"":[""EID 0x112""],""850"":[""Additional info ID 0x66""]}",2
"13537","track.mode","boolean","","[410,608]","Track mode","{""608"":[""Addition data K""]}",2
"13538","transmition.channel","string","","[23]","Transmition channel","{""23"":[""Parameter #CU#""]}",1
"13539","trigger.cause.enum","number","","[20]","Event trigger cause: 1 - from low to high, 2 - gtom high to low, 3 - both from low to high and gtom high to low, 4 - equal to threshold","{""20"":[""Module 25""]}",1
"13540","trip.average.wakeup.number","number","","[425,435]","Average Wakeups Per Trip","{""425"":[""Message type 0x04 with Field ID 21""],""435"":[""Device Counters""]}",2
"13543","trip.eco.score","number","percentage","[20]","A value representing the weighted Eco score of the trip","{""20"":[""Module 32""]}",1
"13544","trip.engine.time","number","minutes","[20]","Trip delta engine time","{""20"":[""Module 32""]}",1
"13547","trip.highway.driving.score","number","","[20]","Highway driving score of the trip","{""20"":[""Module 32""]}",1
"13548","trip.highway.duration","number","seconds","[516]","Highway driving duration during trip","{""516"":[""iCAN_ID 20083""]}",1
"13549","trip.highway.duration.ratio","number","percentage","[516]","Highway driving duration as a percentage of total trip duration","{""516"":[""iCAN_ID 11006""]}",1
"13550","trip.highway.fuel.consumed","number","liters","[516]","Highway fuel consumption during trip","{""516"":[""iCAN_ID 20074""]}",1
"13551","trip.highway.mileage","number","km","[516]","Highway driving distance during trip","{""516"":[""iCAN_ID 20077""]}",1
"13552","trip.highway.score.time","number","seconds","[20]","Highway driving score time of the trip","{""20"":[""Module 32""]}",1
"13553","trip.idle.count","number","","[516]","Number of idle phases during the trip","{""516"":[""iCAN_ID 20209""]}",1
"13554","trip.idle.fuel.consumed","number","liters","[20,767]","Trip idle fuel consumption","{""20"":[""Module 32""],""767"":[""Data type major 0x00""]}",2
"13555","trip.idle.score","number","","[20]","Idle score of the trip","{""20"":[""Module 32""]}",1
"13556","trip.idle.score.time","number","seconds","[20]","Idle score time of the trip","{""20"":[""Module 32""]}",1
"13557","trip.long.idle.time","number","seconds","[20]","Trip long idle time, based on GPS + accelerometer information,according to 2nd level threshold","{""20"":[""Module 32""]}",1
"13558","trip.low.speed.count","number","","[516]","Number of slow motion phases during the trip","{""516"":[""iCAN_ID 20212""]}",1
"13559","trip.low.speed.duration","number","seconds","[516]","Time spent in slow motion during the trip","{""516"":[""iCAN_ID 20211""]}",1
"13560","trip.low.speed.event.latitude","number","","[516]","Latitude of low speed event during the trip","{""516"":[""iCAN_ID 20213""]}",1
"13561","trip.low.speed.event.longitude","number","","[516]","Longitude of low speed event during the trip","{""516"":[""iCAN_ID 20214""]}",1
"13562","trip.low.speed.event.speed","number","km/h","[516]","Speed of low speed event during the trip","{""516"":[""iCAN_ID 20215""]}",1
"13563","trip.max.engine.coolant.temperature","number","celsius","[516]","Max engine coolant temperature","{""516"":[""iCAN_ID 20009""]}",1
"13564","trip.max.harsh.acceleration","number","g","[516]","Max harsh acceleration value","{""516"":[""iCAN_ID 20015"",""iCAN_ID 20109""]}",1
"13565","trip.max.harsh.brake","number","g","[516]","Max harsh brake value","{""516"":[""iCAN_ID 20016"",""iCAN_ID 20108""]}",1
"13566","trip.min.engine.coolant.temperature","number","celsius","[516]","Max engine coolant temperature","{""516"":[""iCAN_ID 20017""]}",1
"13567","trip.mixed.duration","number","seconds","[516]","Mixed driving duration during trip","{""516"":[""iCAN_ID 20082""]}",1
"13568","trip.mixed.duration.ratio","number","percentage","[516]","Mixed driving duration as a percentage of total trip duration","{""516"":[""iCAN_ID 11005""]}",1
"13569","trip.mixed.fuel.consumed","number","liters","[516]","Mixed fuel consumption during trip","{""516"":[""iCAN_ID 20073""]}",1
"13570","trip.mixed.mileage","number","km","[516]","Mixed driving distance during trip","{""516"":[""iCAN_ID 20076""]}",1
"13571","trip.movement.fuel.consumed","number","liters","[20]","Trip movement fuel consumption","{""20"":[""Module 32""]}",1
"13572","trip.movement.time","number","seconds","[20,33]","Time the vehicle has moved from Ignition on to Ignition off event or until driver was replaced","{""20"":[""Module 32""],""33"":[""Data ID 15""]}",2
"13573","trip.movement.trim.duration","number","seconds","[425]","Movement trip trimming amount","{""425"":[""Message type 0x04 with Field ID 15""]}",1
"13574","trip.operate.time","number","seconds","[14]","Single operation time","{""14"":[""AVL ID 360""]}",1
"13575","trip.overrun.idle.time","number","seconds","[13]","accumulated excess idle time while traveling","{""13"":[""Message subtype 0x04 of Transparent message type 0xF0 of Message ID 0x0900""]}",1
"13576","trip.pto.run.time","number","seconds","[516]","Power Take-Off run time during the trip","{""516"":[""iCAN_ID 20273""]}",1
"13577","trip.rolling.duration","number","seconds","[516]","Rolling duration during the trip","{""516"":[""iCAN_ID 20331""]}",1
"13578","trip.rolling.electric.duration","number","seconds","[516]","Rolling electric mode duration during the trip","{""516"":[""iCAN_ID 20332""]}",1
"13579","trip.rolling.electric.mileage","number","km","[516]","Rolling electric mode distance during the trip","{""516"":[""iCAN_ID 20333""]}",1
"13580","trip.safety.score","number","percentage","[20]","A value representing the weighted safety score of the trip","{""20"":[""Module 32""]}",1
"13581","trip.seqnum","number","","[516]","Trip count number","{""516"":[""iCAN_ID 20092""]}",1
"13582","trip.short.idle.time","number","seconds","[20]","Trip short idle time, based on GPS + accelerometer information, according to 1st level threshold","{""20"":[""Module 32""]}",1
"13583","trip.start.direction","number","","[767]","Trip start direction","{""767"":[""Data type major 0x00""]}",1
"13584","trip.start.engine.oil.level","number","percentage","[516]","Engine oil level at the start of the trip","{""516"":[""iCAN_ID 10011""]}",1
"13585","trip.start.satellites","number","","[516,767]","Number of satellites at the start of the trip","{""516"":[""iCAN_ID 291""],""767"":[""Data type major 0x00""]}",2
"13586","trip.start.vehicle.autonomy.mileage","number","km","[516]","Vehicle autonomy mileage at trip start","{""516"":[""iCAN_ID 20113""]}",1
"13587","trip.start.vehicle.battery.level","number","percentage","[516]","Vehicle battery level at trip start","{""516"":[""iCAN_ID 20110""]}",1
"13588","trip.stop.direction","number","","[767]","Trip stop direction","{""767"":[""Data type major 0x00""]}",1
"13589","trip.stop.satellites","number","","[516,767]","Number of satellites at the end of the trip","{""516"":[""iCAN_ID 292""],""767"":[""Data type major 0x00""]}",2
"13590","trip.stop.vehicle.autonomy.mileage","number","km","[516]","Vehicle autonomy mileage at trip end","{""516"":[""iCAN_ID 20115""]}",1
"13591","trip.stop.vehicle.battery.level","number","percentage","[516]","Vehicle battery level at trip end","{""516"":[""iCAN_ID 20112""]}",1
"13592","trip.towing.mileage","number","km","[516]","Power Take-Off mileage during the trip","{""516"":[""iCAN_ID 20377""]}",1
"13593","trip.urban.driving.score","number","","[20]","Urban driving score of the trip","{""20"":[""Module 32""]}",1
"13594","trip.urban.duration","number","seconds","[516]","Urban driving duration during trip","{""516"":[""iCAN_ID 20081""]}",1
"13595","trip.urban.duration.ratio","number","percentage","[516]","Urban driving duration as a percentage of total trip duration","{""516"":[""iCAN_ID 11004""]}",1
"13596","trip.urban.fuel.consumed","number","liters","[516]","Urban fuel consumption during trip","{""516"":[""iCAN_ID 20072""]}",1
"13597","trip.urban.mileage","number","km","[516]","Urban driving distance during trip","{""516"":[""iCAN_ID 20075""]}",1
"13598","trip.urban.score.time","number","seconds","[20]","Urban driving score time of the trip","{""20"":[""Module 32""]}",1
"13599","trip.x.acceleration.max","number","g","[20]","Maximum accel input on X axis of the trip","{""20"":[""Module 32""]}",1
"13600","trip.y.acceleration.max","number","g","[20]","Maximum accel input on Y axis of the trip","{""20"":[""Module 32""]}",1
"13601","trip.z.acceleration.max","number","g","[20]","Maximum accel input on Z axis of the trip","{""20"":[""Module 32""]}",1
"13602","turn.events.count","number","","[249]","Number of turn events","{""249"":[""EID 0x07E""]}",1
"13603","turnover.event","boolean","","[30]","Turnover event","{}",1
"13604","ubi.event.data","array","","[13]","Data associated with UBI event","{}",1
"13605","ubi.event.end.status","boolean","","[13]","UBI event ended status","{""13"":[""Protocol Number 0x9C""]}",1
"13606","udp.bytes.received","number","","[249]","UDP bytes received","{""249"":[""EID 0x058""]}",1
"13607","udp.bytes.sent","number","","[249]","UDP bytes sent","{""249"":[""EID 0x059""]}",1
